Date,Symbol,Open,High,Low,Close,Volume XRP,Volume BTC
7/13/2019,XRPBTC,2.92E-05,2.94E-05,2.88E-05,2.93E-05,869398.8,25.29
7/12/2019,XRPBTC,2.90E-05,3.02E-05,2.82E-05,2.92E-05,16780214.75,491.76
7/11/2019,XRPBTC,2.98E-05,3.04E-05,2.77E-05,2.90E-05,12338175.4,355.53
7/10/2019,XRPBTC,3.13E-05,3.14E-05,2.78E-05,2.98E-05,23764068.95,696.84
7/9/2019,XRPBTC,3.27E-05,3.32E-05,3.12E-05,3.13E-05,9743513.63,310.79
7/8/2019,XRPBTC,3.48E-05,3.48E-05,3.24E-05,3.27E-05,6464789.33,216.26
7/7/2019,XRPBTC,3.47E-05,3.56E-05,3.41E-05,3.48E-05,3370593.73,117.19
7/6/2019,XRPBTC,3.45E-05,3.59E-05,3.33E-05,3.47E-05,7666872.79,262.26
7/5/2019,XRPBTC,3.46E-05,3.51E-05,3.35E-05,3.45E-05,8170998.65,281.44
7/4/2019,XRPBTC,3.39E-05,3.50E-05,3.31E-05,3.46E-05,12132149.3,409.06
7/3/2019,XRPBTC,3.68E-05,3.68E-05,3.38E-05,3.39E-05,7000343.54,244.55
7/2/2019,XRPBTC,3.83E-05,4.00E-05,3.64E-05,3.68E-05,7732479.49,299.01
7/1/2019,XRPBTC,3.66E-05,3.88E-05,3.61E-05,3.83E-05,10598514.87,401
6/30/2019,XRPBTC,3.58E-05,3.67E-05,3.48E-05,3.66E-05,5892521.69,210.36
6/29/2019,XRPBTC,3.43E-05,3.61E-05,3.39E-05,3.58E-05,6677672.53,233.85
6/28/2019,XRPBTC,3.63E-05,3.70E-05,3.36E-05,3.43E-05,12042771.25,422.68
6/27/2019,XRPBTC,3.57E-05,3.84E-05,3.27E-05,3.63E-05,32907294.95,1178.16
6/26/2019,XRPBTC,3.97E-05,4.00E-05,3.47E-05,3.57E-05,30738724.66,1146.71
6/25/2019,XRPBTC,4.29E-05,4.29E-05,3.91E-05,3.97E-05,12829619.85,523.2
6/24/2019,XRPBTC,4.32E-05,4.33E-05,4.18E-05,4.29E-05,5517510.87,234.65
